Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Source_Location_X,Source_Location_Y,Log
6.73E-05,-8.343969872,0.0016491,-5.565506017,1.32E-11,0.0021215,0.00021207,8,0.125,180,180,-2.114989524
0.0059427,-4.452032387,0.0027737,-5.113881027,0.05134,0.0017416,1.42E-05,8,0.125,100,100,-2.122231405
5.72E-21,-40.48520794,1.60E-05,-9.591760035,0,0.00023848,0.0015993,14,0.071428571,300,300,-2.124059457
7.37E-37,-72.26506502,9.37E-06,-10.05652082,0,0.00056253,0.013835,7,0.142857143,343,337,-2.008849268
0.0056874,-4.490172453,0.0017793,-5.499501642,0.012113,0.00095299,3.30E-06,10,0.1,70,70,-2.106110686
0.00026147,-7.165156266,0.0064056,-4.386880369,5.14E-11,0.0082407,0.00082375,4,0.25,180,180,-2.12773881
0.0044243,-4.708310865,0.002065,-5.370159888,0.038222,0.0012966,1.05E-05,11,0.090909091,100,100,-1.973752819
1.70E-18,-35.53910216,0.0047679,-4.643345724,0,0.071001,0.47615,1,1,300,300,-1.94248604
8.34E-85,-168.1576679,3.30E-07,-12.96297212,0,0.00024271,0.025708,5,0.2,390,388,-1.985605484
0.0012153,-5.830633004,0.00038019,-6.839998621,0.0025881,0.00020363,7.05E-07,18,0.055555556,70,70,-2.265808449
1.48E-05,-9.659476569,0.00036344,-6.879134552,2.92E-12,0.00046756,4.67E-05,18,0.055555556,180,180,-2.067445066
0.00065919,-6.361978779,0.00030767,-7.023829697,0.0056948,0.00019318,1.57E-06,20,0.05,100,100,-2.281323964
6.02E-20,-38.44080702,0.00016846,-7.547006407,0,0.0025087,0.016824,5,0.2,300,300,-1.996367163
1.24E-65,-129.8131566,1.20E-06,-11.84163751,0,0.00028643,0.017213,8,0.125,382,362,-1.860309778
0.0052522,-4.559317489,0.0016431,-5.568672009,0.011186,0.00088007,3.05E-06,11,0.090909091,70,70,-2.057897653
0.00028768,-7.08218066,0.0070478,-4.303892857,5.66E-11,0.0090669,0.00090633,5,0.2,180,180,-1.892416969
0.0053046,-4.550694718,0.0024758,-5.212568883,0.045827,0.0015546,1.26E-05,12,0.083333333,100,100,-1.819386749
2.24E-20,-39.29950396,6.27E-05,-8.405464918,0,0.0009338,0.0062623,7,0.142857143,300,300,-2.133316954
0.0020152,-5.391363691,0.020747,-3.366089386,0.00014515,0.028035,0.0070425,2,0.5,91,192,-2.12773881
0.0028092,-5.102834681,0.00087884,-6.112180369,0.0059827,0.00047071,1.63E-06,10,0.1,70,70,-2.412446173
7.12E-07,-12.29504001,1.74E-05,-9.518901503,1.40E-13,2.24E-05,2.24E-06,15,0.066666667,180,180,-3.544561249
0.14063,-1.703844046,0.065636,-2.365715787,1.2149,0.041212,0.00033528,2,0.5,100,100,-1.952257982
1.66E-20,-39.55978382,4.64E-05,-8.666964039,0,0.00069029,0.0046293,4,0.25,300,300,-2.750630405
6.11E-23,-44.42791758,0.00013546,-7.736377857,0,0.0016077,0.0052762,8,0.125,337,279,-1.927088684
0.0034539,-4.923380481,0.0010805,-5.932750458,0.0073558,0.00057874,2.00E-06,14,0.071428571,70,70,-2.030458291
2.08E-05,-9.36387333,0.00050881,-6.586888724,4.08E-12,0.00065458,6.54E-05,6,0.166666667,180,180,-2.875560989
0.0015061,-5.644292383,0.00070297,-6.306126417,0.013012,0.00044139,3.59E-06,20,0.05,100,100,-1.92245042
3.93E-20,-38.8112149,0.00011009,-7.916504257,0,0.0016394,0.010995,4,0.25,300,300,-2.374955206
0.0092556,-4.067190845,0.0013696,-5.726812505,0,0.00039547,4.83E-13,17,0.058823529,388,24,-1.901114106
0.00091343,-6.078649458,0.00028576,-7.087997126,0.0019453,0.00015306,5.30E-07,11,0.090909091,70,70,-2.817556814
2.73E-05,-9.127674706,0.00066781,-6.350694164,5.36E-12,0.00085914,8.59E-05,8,0.125,180,180,-2.507574887
0.0059563,-4.450046873,0.00278,-5.111910408,0.051458,0.0017456,1.42E-05,11,0.090909091,100,100,-1.844633593
6.15E-21,-40.42224977,1.72E-05,-9.528943106,0,0.00025627,0.0017186,18,0.055555556,300,300,-1.874518734
0.80037,-0.193418396,0.066466,-2.354800914,0,0.023293,4.29E-09,1,1,362,52,-2.766420143
0.0023231,-5.26786419,0.00072676,-6.277217968,0.0049474,0.00038926,1.35E-06,15,0.066666667,70,70,-2.142782124
0.0016556,-5.562089165,0.040559,-2.783825523,3.26E-10,0.05218,0.0052159,1,1,180,180,-2.530325227
0.0019285,-5.429560714,0.0009001,-6.091418477,0.016661,0.00056517,4.60E-06,18,0.055555556,100,100,-1.90661334
5.12E-21,-40.58146008,1.43E-05,-9.689327925,0,0.00021356,0.0014322,13,0.076923077,300,300,-2.236354913
5.04E-07,-12.59513893,0.00053236,-6.547589167,2.43E-32,0.0011692,0.00053035,14,0.071428571,192,221,-1.80950022
0.0025213,-5.196750952,0.00078879,-6.206077208,0.0053697,0.00042248,1.46E-06,20,0.05,70,70,-1.857329022
1.04E-05,-9.965933321,0.00025554,-7.185082219,2.05E-12,0.00032875,3.29E-05,16,0.0625,180,180,-2.322712499
0.00089578,-6.095597276,0.0004181,-6.757439665,0.0077388,0.00026252,2.14E-06,17,0.058823529,100,100,-2.289290434
3.65E-21,-40.87541427,1.02E-05,-9.982799656,0,0.00015218,0.0010206,18,0.055555556,300,300,-2.100869228
2.05E-26,-51.37649228,1.72E-06,-11.52894311,0,8.90E-05,0.002544,17,0.058823529,279,358,-1.891367334
0.035552,-2.898271925,0.011122,-3.907634219,0.075716,0.0059572,2.06E-05,5,0.2,70,70,-1.912218582
0.00013479,-7.740684653,0.0033021,-4.962419558,2.65E-11,0.0042481,0.00042464,7,0.142857143,180,180,-1.929444984
0.020641,-3.370538532,0.009634,-4.032386716,0.17832,0.0060492,4.92E-05,6,0.166666667,100,100,-1.831355223
1.93E-21,-41.42888538,5.40E-06,-10.53521248,0,8.04E-05,0.00053886,18,0.055555556,300,300,-2.378231902
7.97E-06,-10.19708336,0.00011409,-7.88550484,1.00E-06,0.000188,0.00012307,16,0.0625,24,219,-2.408901987
0.014647,-3.668502637,0.0045823,-4.677832963,0.031194,0.0024543,8.49E-06,6,0.166666667,70,70,-2.138973658
2.49E-05,-9.207601306,0.00061111,-6.427761219,4.91E-12,0.00078619,7.86E-05,18,0.055555556,180,180,-1.841758162
0.644,-0.382228265,0.30058,-1.04407984,5.5637,0.18873,0.0015354,1,1,100,100,-1.89350313
3.33E-21,-40.95511153,9.33E-06,-10.06023671,0,0.00013887,0.00093133,13,0.076923077,300,300,-2.423255646
2.38E-07,-13.24684609,0.00022106,-7.310979669,6.37E-13,0.00081075,0.0025058,7,0.142857143,52,286,-2.273500998
0.00036419,-6.877343967,0.00011393,-7.886723805,0.00077561,6.10E-05,2.11E-07,14,0.071428571,70,70,-3.007446482
8.68E-05,-8.12296055,0.0021261,-5.344832625,1.71E-11,0.0027352,0.00027341,4,0.25,180,180,-2.606705644
0.0038992,-4.818048976,0.0018199,-5.47990495,0.033686,0.0011427,9.30E-06,5,0.2,100,100,-2.713476168
3.64E-21,-40.87779723,1.02E-05,-9.982799656,0,0.00015157,0.0010165,18,0.055555556,300,300,-2.102609361
6.46E-07,-12.37953496,0.00032073,-6.987720831,2.47E-59,0.00055761,9.64E-05,9,0.111111111,221,200,-2.584993246
0.0017056,-5.536245625,0.0005336,-6.545568358,0.0036325,0.0002858,9.89E-07,9,0.111111111,70,70,-2.720652508
2.24E-05,-9.299503963,0.00054786,-6.522660814,4.40E-12,0.00070482,7.05E-05,11,0.090909091,180,180,-2.316961972
0.0069445,-4.316718036,0.0032413,-4.978561542,0.059995,0.0020352,1.66E-05,9,0.111111111,100,100,-1.952257982
5.01E-21,-40.60032455,1.40E-05,-9.707743929,0,0.00020906,0.001402,20,0.05,300,300,-1.871439193
5.11E-19,-36.5831582,7.55E-05,-8.244106097,0,0.00033477,0.00010213,9,0.111111111,358,231,-2.782805682
0.0043187,-4.729293927,0.0013511,-5.738625012,0.0091975,0.00072364,2.50E-06,15,0.066666667,70,70,-1.873478974
4.95E-06,-10.6107896,0.00012115,-7.833353163,9.73E-13,0.00015585,1.56E-05,6,0.166666667,180,180,-3.498803758
0.016069,-3.588022298,0.0075,-4.249877473,0.13882,0.0047092,3.83E-05,6,0.166666667,100,100,-1.940095944
2.25E-20,-39.29563496,6.29E-05,-8.402698709,0,0.00093682,0.0062826,10,0.1,300,300,-1.822117357
5.17E-05,-8.573018914,0.0005824,-6.469557267,1.13E-18,0.00059308,1.49E-05,15,0.066666667,219,157,-2.166368483
