Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
0.0038231,0.00080111,0.0097815,1.81E-05,0.0038231,100,50,0.011225,9,0
0.0038879,0.020118,0.24564,0.00045459,0.0038879,100,50,0.0025368,2,0
0.0068039,0.0020932,0.025558,4.73E-05,0.0068039,100,50,0.0088787,4,0
0.0066373,0.0039538,0.048276,8.93E-05,0.0066373,100,50,0.015157,7,0
0.024251,0.011687,0.1427,0.00026408,0.024251,100,50,0.015823,2,0
0.0043323,0.0018772,0.022921,4.24E-05,0.0043323,100,50,0.0098935,7,0
0.0022356,0.0029218,0.035675,6.60E-05,0.0022356,100,50,0.0058346,8,0
0.045586,0.022444,0.27404,0.00050714,0.045586,100,50,0.014872,1,0
0.001283,0.0091636,0.11189,0.00020706,0.001283,100,50,0.0020928,5,0
0.013559,0.0081984,0.1001,0.00018525,0.013559,100,50,0.008847,2,0
0.0048923,0.00019382,0.0023665,4.38E-06,0.0048923,100,50,0.0047882,3,0
0.020314,0.024886,0.30386,0.00056232,0.020314,100,50,0.013255,2,0
0.019342,0.054888,0.67019,0.0012403,0.019342,100,50,0.0063102,1,0
0.021286,0.0018606,0.022718,4.20E-05,0.021286,100,50,0.0069444,1,0
0.0065933,0.0062409,0.076201,0.00014102,0.0065933,100,50,0.012906,6,0
0.0041656,0.00044855,0.0054767,1.01E-05,0.0041656,100,50,0.0095129,7,0
0.0030909,0.00040701,0.0049696,9.20E-06,0.0030909,100,50,0.010084,10,0
0.00068039,0.0052828,0.064504,0.00011937,0.00068039,100,50,0.0015538,7,0
0.016621,0.0041864,0.051116,9.46E-05,0.016621,100,50,0.010845,2,0
0.0032075,0.0032949,0.04023,7.45E-05,0.0032075,100,50,0.0094178,9,0
0.0013413,0.0018839,0.023002,4.26E-05,0.0013413,100,50,0.002188,5,0
0.0058319,0.012821,0.15654,0.0002897,0.0058319,100,50,0.0076104,4,0
0.0038491,0.0024304,0.029676,5.49E-05,0.0038491,100,50,0.012557,10,0
0.0071344,0.011094,0.13546,0.00025068,0.0071344,100,50,0.011637,5,0
0.0056764,0.0096287,0.11757,0.00021757,0.0056764,100,50,0.0092593,5,0
