Receptor_measurement1,log Receptor_measurement1,Receptor_measurement1_log,log Receptor_measurement2,Receptor_measurement2,log_log Receptor_measurement3,Receptor_measurement3,Log_receptor4,Receptor_measurement4,Source_Location_X,Log_X,Source location X log,Log y,Source emission rate,Log,Wind speed,Wind spped log,Wind angle,Wind angle log
1.16E-08,-7.94E+00,0.015932,-1.797729702,0.19453,-0.711013413,0.00035999,-7.936779264,1.16E-08,15,1.176091259,250,2.397940009,0.013033,-1.884955605,3,0.477121255,0,
5.25E-10,-9.28E+00,0.00072358,-3.140513446,0.0088349,-2.053798362,1.64E-05,-9.279567797,5.25E-10,15,1.176091259,250,2.397940009,0.0017757,-2.750630405,9,0.954242509,0,
1.60E-09,-8.79E+00,0.0022095,-2.655705994,0.026978,-1.56899025,4.99E-05,-8.794768561,1.60E-09,15,1.176091259,250,2.397940009,0.0060249,-2.220050157,10,1,0,
1.53E-08,-7.81E+00,0.021106,-1.675594066,0.25771,-0.588868729,0.00047692,-7.814627857,1.53E-08,15,1.176091259,250,2.397940009,0.011511,-1.938886946,2,0.301029996,0,
6.88E-09,-8.16E+00,0.0094776,-2.023301625,0.11572,-0.936591575,0.00021415,-8.162361065,6.88E-09,15,1.176091259,250,2.397940009,0.015506,-1.80950022,6,0.77815125,0,
1.01E-09,-8.99E+00,0.0013955,-2.855270159,0.017039,-1.768555897,3.15E-05,-8.994347685,1.01E-09,15,1.176091259,250,2.397940009,0.0038052,-2.419622512,10,1,0,
5.11E-09,-8.29E+00,0.0070355,-2.152705033,0.085904,-1.065986613,0.00015897,-8.291757614,5.11E-09,15,1.176091259,250,2.397940009,0.0076738,-2.114989524,4,0.602059991,0,
4.75E-09,-8.32E+00,0.0065454,-2.184063808,0.07992,-1.097344525,0.0001479,-8.323114429,4.75E-09,15,1.176091259,250,2.397940009,0.012494,-1.903298498,7,0.84509804,0,
2.18E-08,-7.66E+00,0.030003,-1.522835318,0.36633,-0.436127514,0.00067794,-7.661902246,2.18E-08,15,1.176091259,250,2.397940009,0.0081811,-2.087188299,1,0,0,
5.40E-09,-8.27E+00,0.0074425,-2.128281157,0.090873,-1.041565134,0.00016817,-8.267340919,5.40E-09,15,1.176091259,250,2.397940009,0.014206,-1.84752819,7,0.84509804,0,
3.71E-09,-8.43E+00,0.0051167,-2.291010046,0.062475,-1.204293735,0.00011562,-8.430064563,3.71E-09,15,1.176091259,250,2.397940009,0.012557,-1.901114106,9,0.954242509,0,
4.62E-09,-8.34E+00,0.0063571,-2.196740957,0.077621,-1.110020766,0.00014365,-8.335790654,4.62E-09,15,1.176091259,250,2.397940009,0.010401,-1.982924904,6,0.77815125,0,
2.36E-08,-7.63E+00,0.032445,-1.488852222,0.39615,-0.40214034,0.00073312,-7.627916891,2.36E-08,15,1.176091259,250,2.397940009,0.008847,-2.053203973,1,0,0,
6.54E-09,-8.18E+00,0.0090124,-2.045159541,0.11004,-0.958449418,0.00020364,-8.184216442,6.54E-09,15,1.176091259,250,2.397940009,0.014745,-1.831355223,6,0.77815125,0,
9.84E-09,-8.01E+00,0.013548,-1.868124812,0.16542,-0.781411984,0.00030612,-8.007190311,9.84E-09,15,1.176091259,250,2.397940009,0.0073884,-2.1314496,2,0.301029996,0,
4.74E-09,-8.32E+00,0.0065267,-2.185306349,0.079692,-1.098585274,0.00014748,-8.324359115,4.74E-09,15,1.176091259,250,2.397940009,0.014238,-1.846551011,8,0.903089987,0,
3.80E-09,-8.42E+00,0.005233,-2.281249265,0.063895,-1.194533126,0.00011825,-8.420307843,3.80E-09,15,1.176091259,250,2.397940009,0.012842,-1.891367334,9,0.954242509,0,
2.74E-09,-8.56E+00,0.0037678,-2.423912158,0.046005,-1.337194965,8.51E-05,-8.562979157,2.74E-09,15,1.176091259,250,2.397940009,0.010274,-1.988260439,10,1,0,
7.29E-09,-8.14E+00,0.01004,-1.998266287,0.12258,-0.911580383,0.00022686,-8.137338008,7.29E-09,15,1.176091259,250,2.397940009,0.0082128,-2.085508753,3,0.477121255,0,
6.87E-09,-8.16E+00,0.0094582,-2.024191507,0.11548,-0.937493225,0.00021372,-8.163245602,6.87E-09,15,1.176091259,250,2.397940009,0.015474,-1.810397407,6,0.77815125,0,
4.04E-09,-8.39E+00,0.0055673,-2.254355376,0.067977,-1.167638006,0.0001258,-8.393403691,4.04E-09,15,1.176091259,250,2.397940009,0.012145,-1.915602481,8,0.903089987,0,
7.88E-10,-9.10E+00,0.0010854,-2.964410183,0.013252,-1.877718573,2.45E-05,-9.103479294,7.88E-10,15,1.176091259,250,2.397940009,0.0017757,-2.750630405,6,0.77815125,0,
9.37E-09,-8.03E+00,0.012908,-1.889141043,0.15761,-0.802416231,0.00029167,-8.028195525,9.37E-09,15,1.176091259,250,2.397940009,0.0070396,-2.152452017,2,0.301029996,0,
2.89E-09,-8.54E+00,0.0039829,-2.399800597,0.048631,-1.3130868,9.00E-05,-8.538861784,2.89E-09,15,1.176091259,250,2.397940009,0.0043442,-2.362090189,4,0.602059991,0,
