Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Emission_rate
7.28E-20,0.00020396,0,0.0030373,0.020369,5,0.2,1.397940009,0.012208
0.0079702,0.009283,0.042086,0.0079531,0.00049821,2,0.5,0.602059991,0.0020928
0.016766,0.0052451,0.035706,0.0028093,9.72E-06,8,0.125,1.806179974,0.014777
4.33E-05,0.0010606,8.51E-12,0.0013645,0.0001364,13,0.076923077,2.227886705,0.013033
0.0014986,0.00069945,0.012947,0.00043918,3.57E-06,15,0.066666667,2.352182518,0.0066908
5.60E-23,1.57E-07,0,2.33E-06,1.57E-05,13,0.076923077,2.227886705,6.34E-05
0.0037097,0.0011071,0,0.00053372,2.65E-08,13,0.076923077,2.227886705,0.005137
0.020817,0.0065126,0.044335,0.0034882,1.21E-05,7,0.142857143,1.69019608,0.014047
5.29E-05,0.0012947,1.04E-11,0.0016657,0.0001665,8,0.125,1.806179974,0.0060249
0.071201,0.033232,0.61512,0.020866,0.00016976,3,0.333333333,0.954242509,0.012716
7.20E-22,2.02E-06,0,3.00E-05,0.00020137,17,0.058823529,2.460897843,0.0013952
0.0043913,0.0040112,0.058129,0.0028434,2.28E-05,7,0.142857143,1.69019608,0.0079909
0.0066315,0.0020746,0.014123,0.0011112,3.84E-06,5,0.2,1.397940009,0.0022831
4.95E-05,0.0012115,9.73E-12,0.0015585,0.00015579,3,0.333333333,0.954242509,0.00079274
0.001981,0.00092462,0.017114,0.00058056,4.72E-06,11,0.090909091,2.08278537,0.0047565
4.58E-21,1.28E-05,0,0.00019106,0.0012813,8,0.125,1.806179974,0.001966
6.54E-19,1.56E-05,0,0.00021105,0.0014391,19,0.052631579,2.557507202,0.012557
0.0029341,0.00091791,0.0062487,0.00049164,1.70E-06,19,0.052631579,2.557507202,0.014587
2.43E-05,0.00059559,4.78E-12,0.00076623,7.66E-05,19,0.052631579,2.557507202,0.015633
0.0066856,0.0031204,0.057758,0.0019593,1.59E-05,7,0.142857143,1.69019608,0.0065005
1.01E-20,2.81E-05,0,0.0004191,0.0028106,12,0.083333333,2.158362492,0.0097032
0.0044737,0.0011247,0.0022049,0.00054535,4.10E-07,8,0.125,1.806179974,0.0028222
0.0025559,0.0007996,0.0054433,0.00042827,1.48E-06,20,0.05,2.602059991,0.014079
4.73E-05,0.0011587,9.30E-12,0.0014907,0.00014901,13,0.076923077,2.227886705,0.014238
0.0015418,0.00071964,0.01332,0.00045186,3.68E-06,16,0.0625,2.408239965,0.0078323
1.00E-20,2.81E-05,0,0.0004186,0.0028073,7,0.142857143,1.69019608,0.0032978
1.80E-10,0.00032971,7.93E-29,0.0040456,0.05295,3,0.333333333,0.954242509,0.013921
0.00094982,0.00029715,0.0020228,0.00015915,5.51E-07,20,0.05,2.602059991,0.0052321
9.51E-06,0.00023287,1.87E-12,0.00029958,2.99E-05,18,0.055555556,2.51054501,0.0054858
0.64081,0.29909,5.5361,0.1878,0.0015278,1,1,0,0.012716
9.68E-21,2.71E-05,0,0.00040369,0.0027073,8,0.125,1.806179974,0.004154
6.21E-05,0.00052644,3.02E-06,0.00064509,9.44E-05,15,0.066666667,2.352182518,0.0089422
0.0047811,0.0014957,0.010182,0.00080113,2.77E-06,12,0.083333333,2.158362492,0.0094812
0.00014786,0.0036222,2.91E-11,0.00466,0.00046582,6,0.166666667,1.556302501,0.0094812
0.0064978,0.0030328,0.056136,0.0019043,1.55E-05,11,0.090909091,2.08278537,0.015601
2.14E-19,0.00059892,0,0.0089189,0.059813,3,0.333333333,0.954242509,0.012906
0.0025819,0.0012195,0,0.00063533,6.24E-08,18,0.055555556,2.51054501,0.011003
0.0045336,0.0014183,0.0096552,0.00075965,2.63E-06,15,0.066666667,2.352182518,0.014047
2.63E-06,6.43E-05,5.16E-13,8.28E-05,8.27E-06,20,0.05,2.602059991,0.0018709
0.00047941,0.00022376,0.0041417,0.0001405,1.14E-06,10,0.1,2,0.00095129
6.11E-20,0.00017107,0,0.0025475,0.017084,6,0.166666667,1.556302501,0.014745
0.010693,0.0041601,0.050384,0.0024734,1.95E-05,8,0.125,1.806179974,0.011859
0.0014225,0.00044502,0.0030295,0.00023836,8.25E-07,15,0.066666667,2.352182518,0.0044077
5.85E-06,0.00014336,1.15E-12,0.00018444,1.84E-05,17,0.058823529,2.460897843,0.0030124
0.0043502,0.0020304,0.037582,0.0012749,1.04E-05,12,0.083333333,2.158362492,0.01243
1.68E-20,4.71E-05,0,0.00070212,0.0047086,5,0.2,1.397940009,0.0028222
