Receptor_measurement1,Receptor_measurement2,Receptor_measurement4,Receptor_measurement5,Wind_speed,Source_Location_X,Source_Location_Y
0.0063558,0.0013086,0.00053966,4.42E-08,17,180,37
0.024369,0.0076238,0.0040833,1.41E-05,6,70,70
1.67E-05,0.00040955,0.00052688,5.27E-05,19,180,180
0.0053694,0.0025061,0.0015736,1.28E-05,10,100,100
3.22E-20,9.02E-05,0.0013436,0.0090106,4,300,300
7.06E-05,0.00044696,0.00054277,9.47E-05,20,93,181
0.0013528,0.00042321,0.00022667,7.84E-07,20,70,70
0.0069784,0.17096,0.21994,0.021985,1,180,180
0.0023651,0.0011039,0.00069312,5.64E-06,5,100,100
2.72E-22,7.62E-07,1.13E-05,7.61E-05,20,300,300
6.20E-13,1.50E-06,1.88E-05,0.0002488,19,88,361
0.011765,0.0036806,0.0019713,6.82E-06,8,70,70
3.19E-05,0.00078139,0.0010053,0.00010049,12,180,180
0.0037668,0.0017581,0.0011039,8.98E-06,14,100,100
7.69E-21,2.15E-05,0.00032075,0.002151,17,300,300
6.44E-20,6.65E-06,0.00017633,0.0031685,14,245,344
0.0011154,0.00034896,0.00018691,6.47E-07,17,70,70
4.37E-05,0.0010699,0.0013764,0.00013758,8,180,180
0.0081874,0.0038214,0.0023994,1.95E-05,9,100,100
6.43E-21,1.80E-05,0.00026823,0.0017988,15,300,300
7.01E-10,2.96E-05,0.00023712,0.0021991,12,37,348
0.016947,0.0053018,0.0028397,9.83E-06,5,70,70
4.26E-05,0.0010426,0.0013413,0.00013408,8,180,180
9.23E-05,4.31E-05,2.71E-05,2.20E-07,15,100,100
8.18E-19,0.0022912,0.03412,0.22882,1,300,300
5.47E-12,3.10E-05,0.00023718,0.0013191,20,181,303
0.016118,0.0050425,0.0027008,9.35E-06,2,70,70
0.00017838,0.0043701,0.0056222,0.00056199,7,180,180
0.0073379,0.0034249,0.0021505,1.75E-05,7,100,100
7.07E-21,1.98E-05,0.00029462,0.0019758,9,300,300
5.91E-43,1.89E-06,0.0001182,0.0026946,18,361,331
0.0023787,0.00074417,0.00039858,1.38E-06,11,70,70
0.0013307,0.0326,0.04194,0.0041923,2,180,180
0.012562,0.0058633,0.0036815,3.00E-05,6,100,100
1.32E-20,3.71E-05,0.00055199,0.0037019,13,300,300
0.062388,0.0058388,0.0020414,6.47E-10,7,344,47
0.16118,0.050425,0.027008,9.35E-05,1,70,70
3.67E-05,0.0008995,0.0011572,0.00011568,4,180,180
0.0017858,0.0008335,0.00052335,4.26E-06,20,100,100
7.63E-21,2.14E-05,0.00031819,0.0021339,15,300,300
6.94E-54,1.96E-06,0.00079036,0.066404,3,348,394
0.0057205,0.0017896,0.00095854,3.32E-06,8,70,70
4.04E-05,0.00099,0.0012736,0.00012731,10,180,180
0.03246,0.01515,0.0095128,7.74E-05,4,100,100
5.02E-21,1.41E-05,0.0002094,0.0014043,9,300,300
1.05E-14,0.00023441,0.0012961,0.001546,7,303,254
0.0012031,0.00037638,0.00020159,6.98E-07,17,70,70
4.36E-06,0.00010681,0.00013741,1.37E-05,14,180,180
0.00029306,0.00013678,8.59E-05,6.99E-07,17,100,100
9.49E-20,0.00026571,0.0039568,0.026536,4,300,300
2.83E-07,0.0028601,0.0036725,3.41E-05,7,331,168
0.017333,0.0054227,0.0029044,1.01E-05,6,70,70
0.00015259,0.0037382,0.0048092,0.00048073,7,180,180
0.0037994,0.0017733,0.0011135,9.06E-06,14,100,100
2.51E-21,7.03E-06,0.0001047,0.00070215,9,300,300
0.00066312,0.0012235,0.0011877,0.00012582,13,47,158
0.0029564,0.00092491,0.00049538,1.71E-06,9,70,70
5.56E-05,0.0013618,0.0017519,0.00017512,7,180,180
0.0020293,0.00094717,0.00059472,4.84E-06,17,100,100
2.22E-21,6.22E-06,9.26E-05,0.00062084,7,300,300
1.02E-28,0.00021287,0.0012807,0.00039632,8,394,236
0.00078352,0.00024512,0.00013129,4.54E-07,12,70,70
0.0003183,0.0077979,0.010032,0.0010028,5,180,180
0.029475,0.013757,0.0086379,7.03E-05,3,100,100
1.50E-20,4.20E-05,0.0006259,0.0041975,11,300,300
0.00025096,0.12032,0.17904,0.012095,1,254,185
0.25674,0.08032,0.04302,0.00014886,2,70,70
0.00012353,0.0030262,0.0038931,0.00038916,7,180,180
0.0031763,0.0014825,0.00093086,7.57E-06,9,100,100
2.98E-21,8.34E-06,0.00012418,0.00083278,9,300,300
5.44E-17,3.39E-06,9.90E-05,0.0023288,13,168,378
0.007967,0.0024924,0.001335,4.62E-06,10,70,70
6.25E-05,0.0015308,0.0019694,0.00019686,10,180,180
0.0055768,0.0026029,0.0016343,1.33E-05,7,100,100
9.92E-21,2.78E-05,0.00041373,0.0027746,15,300,300
2.83E-07,5.34E-05,0.00010294,4.41E-05,19,158,216
0.0083469,0.0026113,0.0013986,4.84E-06,8,70,70
1.42E-05,0.00034829,0.00044808,4.48E-05,12,180,180
0.0024719,0.0011538,0.00072444,5.89E-06,8,100,100
2.76E-20,7.74E-05,0.0011525,0.0077292,8,300,300
1.84E-09,7.28E-05,0.00020334,0.00011071,16,236,230
0.0026198,0.00081961,0.00043899,1.52E-06,15,70,70
1.25E-06,3.07E-05,3.95E-05,3.94E-06,16,180,180
0.00077537,0.0003619,0.00022723,1.85E-06,13,100,100
1.96E-20,5.48E-05,0.00081629,0.0054743,6,300,300
3.83E-08,0.0071317,0.033468,0.083559,2,185,273
0.00088562,0.00027706,0.0001484,5.13E-07,13,70,70
8.79E-05,0.0021545,0.0027717,0.00027706,10,180,180
0.0023773,0.0011096,0.0006967,5.67E-06,18,100,100
2.85E-20,7.99E-05,0.0011895,0.0079772,8,300,300
1.17E-15,0.0021265,0.0053057,0.00019033,4,378,200
0.0060834,0.0019032,0.0010193,3.53E-06,9,70,70
3.69E-06,9.03E-05,0.0001162,1.16E-05,13,180,180
0.001567,0.0007314,0.00045924,3.74E-06,19,100,100
1.27E-19,0.00035428,0.0052757,0.035381,2,300,300
0.0069133,0.003375,0.0019729,2.51E-06,4,216,99
0.0020752,0.00064921,0.00034772,1.20E-06,18,70,70
5.65E-05,0.0013841,0.0017806,0.00017799,11,180,180
0.0055487,0.0025898,0.0016261,1.32E-05,12,100,100
1.17E-20,3.28E-05,0.00048895,0.0032791,12,300,300
6.84E-09,0.0014535,0.0051574,0.0052156,6,230,246
0.0027169,0.00084997,0.00045525,1.58E-06,17,70,70
9.89E-05,0.0024229,0.0031171,0.00031158,9,180,180
0.015085,0.0070409,0.004421,3.60E-05,5,100,100
2.76E-21,7.71E-06,0.00011488,0.00077044,20,300,300
2.27E-05,0.10694,0.1866,0.016432,1,273,194
0.003052,0.0009548,0.00051139,1.77E-06,13,70,70
0.00014044,0.0034405,0.0044262,0.00044245,6,180,180
0.0011393,0.00053177,0.0003339,2.72E-06,18,100,100
1.27E-20,3.55E-05,0.00052856,0.0035447,10,300,300
0.017064,0.0033395,0.0013283,5.21E-08,8,200,34
0.92564,0.28958,0.1551,0.00053669,1,70,70
3.54E-05,0.00086709,0.0011155,0.00011151,13,180,180
0.036055,0.016828,0.010567,8.60E-05,4,100,100
9.49E-21,2.66E-05,0.00039582,0.0026545,12,300,300
0.00091111,0.00081935,0.00062402,1.51E-05,12,99,127
0.0047491,0.0014857,0.00079577,2.75E-06,12,70,70
0.00012545,0.0030733,0.0039538,0.00039522,8,180,180
0.00085435,0.00039876,0.00025038,2.04E-06,19,100,100
4.91E-20,0.00013759,0.0020489,0.013741,6,300,300
0.04818,0.023099,0.01302,7.72E-06,4,246,97
0.0029213,0.00091392,0.0004895,1.69E-06,19,70,70
1.28E-05,0.00031363,0.00040349,4.03E-05,18,180,180
0.0036878,0.0017212,0.0010807,8.79E-06,13,100,100
1.29E-20,3.62E-05,0.00053916,0.0036158,13,300,300
3.40E-06,0.0026863,0.005607,0.0021798,4,194,217
0.0038722,0.0012114,0.00064883,2.25E-06,17,70,70
8.39E-06,0.00020546,0.00026433,2.64E-05,15,180,180
0.0012926,0.0006033,0.00037881,3.08E-06,19,100,100
3.52E-21,9.87E-06,0.00014696,0.00098558,19,300,300
8.77E-06,2.59E-05,2.88E-05,5.48E-06,17,34,175
0.010799,0.0033785,0.0018095,6.26E-06,10,70,70
