Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Source_Emission_rate,Log
4.00E-71,-140.79588,2.12E-07,-13.34732828,0,5.43E-05,0.0033323,17,0.058823529,2.460897843,388,361,0.011733,-1.930590929
0.20723,-1.367094746,0.064832,-2.376421161,0.44135,0.034724,0.00012015,2,0.5,0.602059991,70,70,0.011416,-1.94248604
0.00025368,-7.191427542,0.0062148,-4.413145686,4.99E-11,0.0079953,0.00079921,2,0.5,0.602059991,180,180,0.0018075,-2.742921694
0.0013616,-5.731900915,0.00063553,-6.393727888,0.011763,0.00039904,3.25E-06,13,0.076923077,2.227886705,100,100,0.0045662,-2.34044507
4.29E-20,-38.73508542,0.00012026,-7.839757601,0,0.0017908,0.01201,5,0.2,1.397940009,300,300,0.0071981,-2.142782124
0.0067551,-4.340736435,0.072997,-2.273389976,0.00011304,0.09267,0.014581,1,1,0,126,183,0.0057078,-2.243531253
0.018186,-3.480525626,0.0056894,-4.489867063,0.03873,0.0030472,1.05E-05,7,0.142857143,1.69019608,70,70,0.012272,-1.911084653
3.98E-05,-8.800233856,0.00097446,-6.022471967,7.82E-12,0.0012536,0.00012531,8,0.125,1.806179974,180,180,0.0045345,-2.343470594
0.001946,-5.421714328,0.00090829,-6.083550934,0.016812,0.00057031,4.64E-06,15,0.066666667,2.352182518,100,100,0.0086885,-2.061055195
2.19E-21,-41.31911177,6.14E-06,-10.42366326,0,9.14E-05,0.00061327,17,0.058823529,2.460897843,300,300,0.0042491,-2.371703048
0.18448,-1.46810142,0.049275,-2.614746734,0.02897,0.022647,1.83E-05,2,0.5,0.602059991,75,38,0.0094812,-2.023136692
0.0011633,-5.868616544,0.00036392,-6.877988152,0.0024774,0.00019492,6.74E-07,17,0.058823529,2.460897843,70,70,0.0046296,-2.334456531
0.00079318,-6.20125649,0.019432,-3.422964996,1.56E-10,0.024999,0.0024989,3,0.333333333,0.954242509,180,180,0.012716,-1.895649481
0.0018937,-5.445377642,0.00088385,-6.107242867,0.01636,0.00055496,4.51E-06,20,0.05,2.602059991,100,100,0.01503,-1.823041019
4.54E-21,-40.68588829,1.27E-05,-9.792392558,0,0.00018917,0.0012687,7,0.142857143,1.69019608,300,300,0.0014904,-2.826697158
3.99E-21,-40.79805421,1.90E-06,-11.4424928,0,4.32E-05,0.00060964,18,0.055555556,2.51054501,265,330,0.0037735,-2.423255646
0.011052,-3.913118248,0.0034577,-4.92242538,0.023539,0.001852,6.41E-06,5,0.2,1.397940009,70,70,0.0038052,-2.419622512
2.68E-05,-9.143730412,0.00065709,-6.364750284,5.27E-12,0.00084535,8.45E-05,15,0.066666667,2.352182518,180,180,0.01075,-1.968591536
0.0042551,-4.742180458,0.001986,-5.404041512,0.036761,0.001247,1.01E-05,13,0.076923077,2.227886705,100,100,0.014269,-1.845606462
5.56E-21,-40.50985042,1.56E-05,-9.613750803,0,0.00023203,0.0015561,17,0.058823529,2.460897843,300,300,0.010781,-1.967340954
3.04E-47,-93.03425283,4.19E-06,-10.75557195,0,0.00044801,0.016491,5,0.2,1.397940009,361,348,0.0054224,-2.265808449
0.0022884,-5.280936122,0.00071591,-6.290283142,0.0048736,0.00038345,1.33E-06,18,0.055555556,2.51054501,70,70,0.010211,-1.990931724
5.73E-05,-8.483690756,0.0014043,-5.705080208,1.13E-11,0.0018066,0.00018059,10,0.1,2,180,180,0.010211,-1.990931724
0.00047541,-6.645863375,0.00022189,-7.30772454,0.0041072,0.00013933,1.13E-06,20,0.05,2.602059991,100,100,0.0037735,-2.423255646
1.44E-20,-39.68327502,4.03E-05,-8.789389908,0,0.00059982,0.0040226,11,0.090909091,2.08278537,300,300,0.011669,-1.93296636
5.81E-09,-16.47164774,0.00012288,-7.821037595,1.54E-42,0.00043179,0.00062798,9,0.111111111,1.908485019,183,255,0.003171,-2.498803758
0.00039943,-6.797118639,0.00012496,-7.806457967,0.00085067,6.69E-05,2.32E-07,14,0.071428571,2.292256071,70,70,0.0010781,-2.967340954
1.04E-05,-9.965933321,0.00025441,-7.188931644,2.04E-12,0.00032729,3.27E-05,12,0.083333333,2.158362492,180,180,0.0026636,-2.574530994
0.052202,-2.564625715,0.024365,-3.226467169,0.45099,0.015299,0.00012446,3,0.333333333,0.954242509,100,100,0.0093227,-2.030458291
4.31E-21,-40.73104546,1.21E-05,-9.834429259,0,0.0001795,0.0012038,16,0.0625,2.408239965,300,300,0.0073884,-2.1314496
0.0030984,-5.017725032,0.00092751,-6.065362799,0.0030636,0.00047274,1.38E-06,10,0.1,2,38,55,0.0044394,-2.352675722
0.0023231,-5.26786419,0.00072676,-6.277217968,0.0049474,0.00038926,1.35E-06,15,0.066666667,2.352182518,70,70,0.0071981,-2.142782124
1.27E-05,-9.792392558,0.00031152,-7.013028132,2.50E-12,0.00040076,4.01E-05,7,0.142857143,1.69019608,180,180,0.0011098,-2.95475528
0.0019726,-5.409921942,0.00092067,-6.071792016,0.017041,0.00057808,4.70E-06,16,0.0625,2.408239965,100,100,0.01002,-1.999132278
1.37E-20,-39.72655887,3.84E-05,-8.831337551,0,0.00057211,0.0038368,11,0.090909091,2.08278537,300,300,0.01113,-1.953504836
0.38547,-0.828018832,0.05131,-2.579595971,0,0.016635,1.85E-09,2,0.5,0.602059991,330,28,0.006881,-2.162348442
0.02846,-3.091530209,0.0089036,-4.100868718,0.060612,0.0047688,1.65E-05,5,0.2,1.397940009,70,70,0.0097983,-2.008849268
3.12E-05,-9.011690812,0.00076322,-6.234700515,6.13E-12,0.00098187,9.81E-05,12,0.083333333,2.158362492,180,180,0.0079909,-2.097404304
0.018821,-3.450714611,0.0087846,-4.112556018,0.1626,0.0055158,4.49E-05,3,0.333333333,0.954242509,100,100,0.0033612,-2.473505645
1.68E-20,-39.54938144,4.70E-05,-8.655804284,0,0.00070035,0.0046968,7,0.142857143,1.69019608,300,300,0.0055175,-2.258257658
0.033438,-2.951519413,0.0030952,-5.018622567,0,0.0010448,1.60E-10,8,0.125,1.806179974,348,42,0.0056443,-2.248389911
0.039236,-2.812630548,0.012275,-3.821956998,0.083562,0.0065745,2.27E-05,5,0.2,1.397940009,70,70,0.013508,-1.869408948
