Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,Source_Location_X,Source_Location_Y,Source_Emission_rate,Wind_speed,wind_angle
1.33E-11,0.0056255,0.061023,1.12E-05,1.33E-11,43,251,0.008308,5,0
0.016306,1.42E-08,4.78E-30,2.00E-06,0.016306,49,47,0.0045979,5,0
0.013728,6.97E-05,1.63E-09,0.56758,0.013728,44,159,0.0071981,5,0
0.43473,2.51E-05,9.83E-12,0.5751,0.43473,28,128,0.012303,5,0
0.11239,2.29E-07,1.54E-18,0.002791,0.11239,27,85,0.0034247,9,0
0.002251,0.00030521,3.93E-07,0.47683,0.002251,40,176,0.004693,2,0
0.0026093,7.74E-09,7.61E-30,1.61E-07,0.0026093,31,24,0.014143,8,0
0.00056121,4.61E-09,2.45E-29,2.96E-08,0.00056121,15,6,0.010337,4,0
0.86498,2.54E-05,6.76E-14,0.96847,0.86498,47,126,0.012525,3,0
0.054809,9.46E-06,2.03E-10,0.1236,0.054809,13,135,0.00371,8,0
6.82E-06,0.00062021,0.00023823,0.0146,6.82E-06,27,208,0.0053907,6,0
0.03732,4.52E-05,7.00E-10,0.51367,0.03732,36,151,0.009069,7,0
1.79E-09,0.0013707,0.0028501,0.0002506,1.79E-09,46,231,0.007864,9,0
0.0001351,1.23E-09,4.35E-32,3.05E-09,0.0001351,25,7,0.0077055,8,0
0.0013659,8.89E-09,4.41E-29,7.75E-08,0.0013659,18,10,0.0039954,1,0
1.95E-10,0.060066,1.3406,1.54E-05,1.95E-10,3,276,0.0073567,1,0
3.10E-14,0.017068,0.39253,2.66E-08,3.10E-14,13,293,0.013857,10,0
0.0020318,0.00015814,2.26E-07,0.28442,0.0020318,36,174,0.0064054,5,0
4.67E-19,0.00095938,0.031835,4.05E-11,4.67E-19,48,285,0.00079274,8,0
0.056478,6.22E-08,3.10E-22,0.00018081,0.056478,29,64,0.0036149,7,0
0.21061,3.70E-07,1.32E-19,0.00089007,0.21061,10,56,0.012525,4,0
1.6653,1.53E-05,7.33E-14,0.37977,1.6653,27,109,0.014808,3,0
0.013459,3.36E-07,3.02E-13,0.0057563,0.013459,7,114,0.00041223,8,0
0.29814,7.19E-07,7.83E-18,0.012165,0.29814,32,92,0.0074835,9,0
