Receptor_measurement1,Receptor_measurement2,Receptor_measurement3,Receptor_measurement4,Receptor_measurement5,wind_x,wind_y,source_rate,source_rate_log,wind_speed
0.0016935,0.00079666,0.0075001,0.00052047,1.18E-05,-5.181,98.859,0.009069,-2.042440598,15
0.0028493,0.0012028,0.0017233,0.00063497,8.06E-06,-254.4,8.884,0.01243,-1.905528871,11
0.0094157,0.0095056,0.047309,0.0081047,0.00066294,2.4681,141.4,0.014174,-1.848507572,5
4.94E-05,9.18E-05,3.77E-07,4.32E-05,1.37E-08,-381.33,-185.99,0.0032344,-2.490206272,7
2.57E-05,7.38E-05,4.49E-05,0.00011114,0.000156,-329.17,248.62,0.0020928,-2.679272273,12
0.0089697,0.0039212,0.042948,0.0024645,3.54E-05,28.943,94.669,0.011923,-1.923614456,8
0.0018937,0.0014177,0.0059104,0.0011971,0.00022951,-213.49,138.64,0.013191,-1.87972228,11
5.09E-05,2.06E-05,9.98E-05,1.24E-05,2.99E-07,-122.47,70.711,0.00044394,-3.352675722,19
2.32E-20,4.02E-05,0.00E+00,0.00075648,0.0077347,283.89,315.29,0.012779,-1.89350313,9
0.0026423,0.0010312,0.0038707,0.00059406,1.15E-05,-144.08,57.007,0.0064688,-2.189176276,10
0.00071305,0.00025572,0.00027513,0.00012522,4.89E-07,-97.491,17.19,0.0044711,-2.349585617,16
0.0003618,0.00027412,0.000010605,0.00012264,1.03E-07,-239.21,-87.064,0.0042808,-2.368475062,9
0.00038211,0.00032462,0.0018092,0.00026833,2.37E-05,-36.603,136.6,0.0012684,-2.896743767,8
0.00012848,0.00044728,0.00019844,0.00072514,0.0011999,-334.32,261.2,0.0049784,-2.302910212,7
1.01E-07,9.72E-05,0.00E+00,9.82E-05,2.52E-07,338.34,151.34,0.00091958,-3.036410483,15
