Receptor_measurement1,Receptor1_Log,Receptor_measurement2,Receptor2_Log,Receptor_measurement3,Receptor_measurement4,Receptor4_Log,Receptor_measurement5,Wind_speed,Wind_speed_reci,Wind_speed_sqr_log,Source_Location_X,Source_Location_Y,Log
0.002927,-5.067154555,0.0013661,-5.729035017,0.025287,0.00085779,-6.13E+00,6.98E-06,14,0.071428571,2.292256071,100,100,-1.943705113
0.0014377,-5.684663455,0.00067102,-6.346529071,0.01242,0.00042133,-6.75E+00,3.43E-06,17,0.058823529,2.460897843,100,100,-2.083835678
0.0065697,-4.364908923,0.0030663,-5.026770714,0.056757,0.0019253,-5.43E+00,1.57E-05,3,0.333333333,0.954242509,100,100,-2.930590929
0.0025406,-5.190127412,0.0011858,-5.851977108,0.021949,0.00074456,-6.26E+00,6.06E-06,16,0.0625,2.408239965,100,100,-1.889208339
0.048041,-2.636775922,0.022422,-3.298651304,0.41503,0.014079,-3.70E+00,0.00011454,4,0.25,1.204119983,100,100,-1.816673203
0.00055531,-6.510929011,0.00025919,-7.172763517,0.0047975,0.00016274,-7.58E+00,1.32E-06,20,0.05,2.602059991,100,100,-2.355787972
0.0018249,-5.477521858,0.00085175,-6.139375716,0.015766,0.00053481,-6.54E+00,4.35E-06,18,0.055555556,2.51054501,100,100,-1.930590929
0.0034375,-4.927514586,0.0016044,-5.589374693,0.029698,0.0010074,-5.99E+00,8.20E-06,15,0.066666667,2.352182518,100,100,-1.813948209
0.0023034,-5.275261275,0.0010751,-5.937102276,0.0199,0.00067504,-6.34E+00,5.49E-06,16,0.0625,2.408239965,100,100,-1.931777021
0.095882,-2.036525831,0.044752,-2.698375102,0.82834,0.028099,-3.10E+00,0.0002286,1,1,0,100,100,-2.720652508
0.00081008,-6.18294418,0.0003781,-6.844786645,0.0069984,0.0002374,-7.25E+00,1.93E-06,19,0.052631579,2.557507202,100,100,-2.236354913
0.58488,-0.465866458,0.27299,-1.127706523,5.0529,0.17141,-1.53E+00,0.0013945,1,1,0,100,100,-1.935317434
0.0013613,-5.732092311,0.00063536,-6.393960261,0.01176,0.00039894,-6.80E+00,3.25E-06,9,0.111111111,1.908485019,100,100,-2.659952682
0.0073989,-4.261665685,0.0034533,-4.923531383,0.06392,0.0021683,-5.33E+00,1.76E-05,10,0.1,2,100,100,-1.83321478
0.013317,-3.751187201,0.0062155,-4.413047858,0.11505,0.0039027,-4.82E+00,3.18E-05,3,0.333333333,0.954242509,100,100,-2.623751625
0.0041229,-4.769594398,0.0019243,-5.43145444,0.035619,0.0012083,-5.84E+00,9.83E-06,10,0.1,2,100,100,-2.087188299
0.057884,-2.47488293,0.027017,-3.136725754,0.50007,0.016964,-3.54E+00,0.00013801,3,0.333333333,0.954242509,100,100,-1.985605484
0.0014155,-5.698180253,0.00066069,-6.360004533,0.012229,0.00041484,-6.76E+00,3.37E-06,18,0.055555556,2.51054501,100,100,-2.040925202
0.0017041,-5.537009847,0.00079539,-6.198839747,0.014722,0.00049942,-6.60E+00,4.06E-06,16,0.0625,2.408239965,100,100,-2.062642616
0.012435,-3.810708421,0.0058037,-4.47259009,0.10743,0.0036441,-4.88E+00,2.96E-05,8,0.125,1.806179974,100,100,-1.801590366
0.00081284,-6.179989866,0.00037938,-6.841851136,0.0070223,0.00023821,-7.25E+00,1.94E-06,17,0.058823529,2.460897843,100,100,-2.331492945
0.019476,-3.421000468,0.0090902,-4.082853123,0.16826,0.0057077,-4.49E+00,4.64E-05,4,0.25,1.204119983,100,100,-2.208772658
4.98E-05,-8.605541314,2.32E-05,-9.26902403,0.00042993,1.46E-05,-9.67E+00,1.19E-07,17,0.058823529,2.460897843,100,100,-3.544561249
0.0038619,-4.826397952,0.0018025,-5.488249453,0.033364,0.0011318,-5.89E+00,9.21E-06,12,0.083333333,2.158362492,100,100,-1.957227663
0.002023,-5.388008234,0.00094421,-6.049862809,0.017477,0.00059286,-6.45E+00,4.82E-06,19,0.052631579,2.557507202,100,100,-1.838901644
0.00021573,-7.332178913,0.00010069,-7.994027318,0.0018638,6.32E-05,-8.40E+00,5.14E-07,20,0.05,2.602059991,100,100,-2.766420143
0.016779,-3.550467852,0.0078315,-4.212310095,0.14496,0.0049174,-4.62E+00,4.00E-05,6,0.166666667,1.556302501,100,100,-1.921325727
0.029364,-3.064369569,0.013705,-3.72624192,0.25368,0.0086054,-4.13E+00,7.00E-05,4,0.25,1.204119983,100,100,-2.030458291
0.00033017,-6.962524781,0.0001541,-7.624394723,0.0028524,9.68E-05,-8.03E+00,7.87E-07,11,0.090909091,2.08278537,100,100,-3.100869228
0.045843,-2.677453939,0.021397,-3.339294227,0.39605,0.013435,-3.74E+00,0.0001093,4,0.25,1.204119983,100,100,-1.83698779
0.002653,-5.1525255,0.0012382,-5.814418401,0.02292,0.00077749,-6.22E+00,6.33E-06,16,0.0625,2.408239965,100,100,-1.870406772
0.00020805,-7.36366456,9.71E-05,-8.02556154,0.0017974,6.10E-05,-8.43E+00,4.96E-07,19,0.052631579,2.557507202,100,100,-2.826697158
0.0036435,-4.876962452,0.0017006,-5.538795651,0.031477,0.0010678,-5.94E+00,8.69E-06,10,0.1,2,100,100,-2.140873717
0.01598,-3.59284645,0.0074586,-4.254685366,0.13806,0.0046832,-4.66E+00,3.81E-05,5,0.2,1.397940009,100,100,-2.100869228
0.0018103,-5.484498897,0.00084492,-6.146368819,0.015639,0.00053052,-6.55E+00,4.32E-06,16,0.0625,2.408239965,100,100,-2.036410483
0.0021224,-5.346345526,0.0009906,-6.008203353,0.018336,0.00062199,-6.41E+00,5.06E-06,16,0.0625,2.408239965,100,100,-1.967340954
0.0015855,-5.599667507,0.00074003,-6.261501348,0.013698,0.00046466,-6.67E+00,3.78E-06,16,0.0625,2.408239965,100,100,-2.093972198
0.0065374,-4.369189883,0.0030513,-5.031030182,0.056478,0.0019159,-5.44E+00,1.56E-05,11,0.090909091,2.08278537,100,100,-1.80421101
0.0051381,-4.578394895,0.0023982,-5.240229203,0.044389,0.0015058,-5.64E+00,1.23E-05,12,0.083333333,2.158362492,100,100,-1.83321478
0.0062483,-4.408476254,0.0029163,-5.070335604,0.05398,0.0018311,-5.47E+00,1.49E-05,10,0.1,2,100,100,-1.90661334
0.001598,-5.59284645,0.00074586,-6.254685366,0.013806,0.00046832,-6.66E+00,3.81E-06,2,0.5,0.602059991,100,100,-3.896743767
0.0088779,-4.103379502,0.0041437,-4.765223389,0.076698,0.0026018,-5.17E+00,2.12E-05,6,0.166666667,1.556302501,100,100,-2.197773762
0.020153,-3.39132059,0.0094061,-4.053180817,0.17411,0.0059061,-4.46E+00,4.80E-05,6,0.166666667,1.556302501,100,100,-1.841758162
