Receptor_measurement1,,Receptor_measurement2,,Receptor_measurement4,,Receptor_measurement5,,wind speed log,Wind_speed,,Source_Location_X,,Source_Location_Y,
0.20723,-0.683547373,0.064832,-1.188210581,0.034724,-1.46E+00,0.00012015,-3.92E+00,3.01E-01,2,1.84509804,70,1.84509804,70,-1.94248604
0.00025368,-3.595713771,0.0062148,-2.206572843,0.0079953,-2.10E+00,0.00079921,-3.10E+00,3.01E-01,2,2.255272505,180,2.255272505,180,-2.742921694
0.0013616,-2.865950457,0.00063553,-3.196863944,0.00039904,-3.40E+00,3.25E-06,-5.49E+00,1.11E+00,13,2,100,2,100,-2.34044507
4.29E-20,-19.36754271,0.00012026,-3.9198788,0.0017908,-2.75E+00,0.01201,-1.92E+00,6.99E-01,5,2.477121255,300,2.477121255,300,-2.142782124
0.0067551,-2.170368217,0.072997,-1.136694988,0.09267,-1.03E+00,0.014581,-1.84E+00,0.00E+00,1,2.100370545,126,2.26245109,183,-2.243531253
0.018186,-1.740262813,0.0056894,-2.244933532,0.0030472,-2.52E+00,1.05E-05,-4.98E+00,8.45E-01,7,1.84509804,70,1.84509804,70,-1.911084653
3.98E-05,-4.400116928,0.00097446,-3.011235983,0.0012536,-2.90E+00,0.00012531,-3.90E+00,9.03E-01,8,2.255272505,180,2.255272505,180,-2.343470594
0.001946,-2.710857164,0.00090829,-3.041775467,0.00057031,-3.24E+00,4.64E-06,-5.33E+00,1.18E+00,15,2,100,2,100,-2.061055195
2.19E-21,-20.65955589,6.14E-06,-5.211831629,9.14E-05,-4.04E+00,0.00061327,-3.21E+00,1.23E+00,17,2.477121255,300,2.477121255,300,-2.371703048
0.18448,-0.73405071,0.049275,-1.307373367,0.022647,-1.64E+00,1.83E-05,-4.74E+00,3.01E-01,2,1.875061263,75,1.579783597,38,-2.023136692
0.0011633,-2.934308272,0.00036392,-3.438994076,0.00019492,-3.71E+00,6.74E-07,-6.17E+00,1.23E+00,17,1.84509804,70,1.84509804,70,-2.334456531
0.00079318,-3.100628245,0.019432,-1.711482498,0.024999,-1.60E+00,0.0024989,-2.60E+00,4.77E-01,3,2.255272505,180,2.255272505,180,-1.895649481
0.0018937,-2.722688821,0.00088385,-3.053621434,0.00055496,-3.26E+00,4.51E-06,-5.35E+00,1.30E+00,20,2,100,2,100,-1.823041019
4.54E-21,-20.34294415,1.27E-05,-4.896196279,0.00018917,-3.72E+00,0.0012687,-2.90E+00,8.45E-01,7,2.477121255,300,2.477121255,300,-2.826697158
3.99E-21,-20.3990271,1.90E-06,-5.721246399,4.32E-05,-4.36E+00,0.00060964,-3.21E+00,1.26E+00,18,2.423245874,265,2.51851394,330,-2.423255646
0.011052,-1.956559124,0.0034577,-2.46121269,0.001852,-2.73E+00,6.41E-06,-5.19E+00,6.99E-01,5,1.84509804,70,1.84509804,70,-2.419622512
2.68E-05,-4.571865206,0.00065709,-3.182375142,0.00084535,-3.07E+00,8.45E-05,-4.07E+00,1.18E+00,15,2.255272505,180,2.255272505,180,-1.968591536
0.0042551,-2.371090229,0.001986,-2.702020756,0.001247,-2.90E+00,1.01E-05,-5.00E+00,1.11E+00,13,2,100,2,100,-1.845606462
5.56E-21,-20.25492521,1.56E-05,-4.806875402,0.00023203,-3.63E+00,0.0015561,-2.81E+00,1.23E+00,17,2.477121255,300,2.477121255,300,-1.967340954
3.04E-47,-46.51712642,4.19E-06,-5.377785977,0.00044801,-3.35E+00,0.016491,-1.78E+00,6.99E-01,5,2.557507202,361,2.541579244,348,-2.265808449
0.0022884,-2.640468061,0.00071591,-3.145141571,0.00038345,-3.42E+00,1.33E-06,-5.88E+00,1.26E+00,18,1.84509804,70,1.84509804,70,-1.990931724
5.73E-05,-4.241845378,0.0014043,-2.852540104,0.0018066,-2.74E+00,0.00018059,-3.74E+00,1.00E+00,10,2.255272505,180,2.255272505,180,-1.990931724
0.00047541,-3.322931687,0.00022189,-3.65386227,0.00013933,-3.86E+00,1.13E-06,-5.95E+00,1.30E+00,20,2,100,2,100,-2.423255646
1.44E-20,-19.84163751,4.03E-05,-4.394694954,0.00059982,-3.22E+00,0.0040226,-2.40E+00,1.04E+00,11,2.477121255,300,2.477121255,300,-1.93296636
5.81E-09,-8.235823868,0.00012288,-3.910518797,0.00043179,-3.36E+00,0.00062798,-3.20E+00,9.54E-01,9,2.26245109,183,2.40654018,255,-2.498803758
0.00039943,-3.39855932,0.00012496,-3.903228983,6.69E-05,-4.17E+00,2.32E-07,-6.63E+00,1.15E+00,14,1.84509804,70,1.84509804,70,-2.967340954
1.04E-05,-4.982966661,0.00025441,-3.594465822,0.00032729,-3.49E+00,3.27E-05,-4.49E+00,1.08E+00,12,2.255272505,180,2.255272505,180,-2.574530994
0.052202,-1.282312858,0.024365,-1.613233584,0.015299,-1.82E+00,0.00012446,-3.90E+00,4.77E-01,3,2,100,2,100,-2.030458291
4.31E-21,-20.36552273,1.21E-05,-4.91721463,0.0001795,-3.75E+00,0.0012038,-2.92E+00,1.20E+00,16,2.477121255,300,2.477121255,300,-2.1314496
0.0030984,-2.508862516,0.00092751,-3.032681399,0.00047274,-3.33E+00,1.38E-06,-5.86E+00,1.00E+00,10,1.579783597,38,1.740362689,55,-2.352675722
0.0023231,-2.633932095,0.00072676,-3.138608984,0.00038926,-3.41E+00,1.35E-06,-5.87E+00,1.18E+00,15,1.84509804,70,1.84509804,70,-2.142782124
1.27E-05,-4.896196279,0.00031152,-3.506514066,0.00040076,-3.40E+00,4.01E-05,-4.40E+00,8.45E-01,7,2.255272505,180,2.255272505,180,-2.95475528
0.0019726,-2.704960971,0.00092067,-3.035896008,0.00057808,-3.24E+00,4.70E-06,-5.33E+00,1.20E+00,16,2,100,2,100,-1.999132278
1.37E-20,-19.86327943,3.84E-05,-4.415668776,0.00057211,-3.24E+00,0.0038368,-2.42E+00,1.04E+00,11,2.477121255,300,2.477121255,300,-1.953504836
0.38547,-0.414009416,0.05131,-1.289797985,0.016635,-1.78E+00,1.85E-09,-8.73E+00,3.01E-01,2,2.51851394,330,1.447158031,28,-2.162348442
0.02846,-1.545765104,0.0089036,-2.050434359,0.0047688,-2.32E+00,1.65E-05,-4.78E+00,6.99E-01,5,1.84509804,70,1.84509804,70,-2.008849268
3.12E-05,-4.505845406,0.00076322,-3.117350258,0.00098187,-3.01E+00,9.81E-05,-4.01E+00,1.08E+00,12,2.255272505,180,2.255272505,180,-2.097404304
0.018821,-1.725357305,0.0087846,-2.056278009,0.0055158,-2.26E+00,4.49E-05,-4.35E+00,4.77E-01,3,2,100,2,100,-2.473505645
1.68E-20,-19.77469072,4.70E-05,-4.327902142,0.00070035,-3.15E+00,0.0046968,-2.33E+00,8.45E-01,7,2.477121255,300,2.477121255,300,-2.258257658
0.033438,-1.475759707,0.0030952,-2.509311283,0.0010448,-2.98E+00,1.60E-10,-9.80E+00,9.03E-01,8,2.541579244,348,1.62324929,42,-2.248389911
0.039236,-1.406315274,0.012275,-1.910978499,0.0065745,-2.18E+00,2.27E-05,-4.64E+00,6.99E-01,5,1.84509804,70,1.84509804,70,-1.869408948
0.00013296,-3.876278994,0.0032573,-2.487142241,0.0041905,-2.38E+00,0.00041888,-3.38E+00,9.03E-01,8,2.255272505,180,2.255272505,180,-1.819386749
0.0039951,-2.398472346,0.0018647,-2.729391029,0.0011708,-2.93E+00,9.53E-06,-5.02E+00,9.03E-01,8,2,100,2,100,-2.294683775
1.25E-20,-19.90308999,3.50E-05,-4.455931956,0.00052158,-3.28E+00,0.0034979,-2.46E+00,1.04E+00,11,2.477121255,300,2.477121255,300,-1.99366234
4.60E-19,-18.33724217,7.59E-06,-5.119758224,0.00014528,-3.84E+00,0.0017842,-2.75E+00,1.30E+00,20,2.40654018,255,2.5132176,326,-1.84269437
0.034447,-1.462848595,0.010777,-1.967502117,0.005772,-2.24E+00,2.00E-05,-4.70E+00,6.99E-01,5,1.84509804,70,1.84509804,70,-1.925951931
9.67E-05,-4.014573526,0.0023691,-2.625416607,0.0030478,-2.52E+00,0.00030466,-3.52E+00,9.54E-01,9,2.255272505,180,2.255272505,180,-1.855363532
0.0015668,-2.804986437,0.00073129,-3.135910365,0.00045918,-3.34E+00,3.74E-06,-5.43E+00,1.20E+00,16,2,100,2,100,-2.099130582
2.91E-21,-20.53610701,8.16E-06,-5.088309841,0.00012147,-3.92E+00,0.00081464,-3.09E+00,1.23E+00,17,2.477121255,300,2.477121255,300,-2.248389911
